Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,TDS
sample1,Grupo 1,red,o,30,0.6,4.4,0.05,0.082,0.035,0.013,0,0,0.030985915,0.004179728,32
sample2,Grupo 2,blue,o,30,0.6,6.86,0.998,0.412,0.378,0.1,1.416803954,0,0.132394366,0.058516196,203
sample3,Grupo 2,blue,o,30,0.6,6.98,0.299,0.247,0.439,0.051,0.823723229,0,0.014084507,0.022988506,120
sample4,Grupo 2,blue,o,30,0.6,7.76,0.449,0.329,0.609,0.061,1.433278418,0,0.014084507,0.006269592,134
sample5,Grupo 2,blue,o,30,0.6,6.54,0.449,0.165,0.309,0.079,0.889621087,0,0.045070423,0.037617555,123
sample6,Grupo 2,blue,o,30,0.6,7.3,0.599,0.329,0.47,0.097,1.268533773,0,0.045070423,0.012539185,170
sample7,Grupo 2,blue,o,30,0.6,6.89,0.648,0.658,0.461,0.143,1.779242175,0,0.008450704,0.014629049,207
sample8,Grupo 2,blue,o,30,0.6,6.7,0.449,0.412,0.352,0.118,1.219110379,0,0.008450704,0.004179728,171
sample9,Grupo 2,blue,o,30,0.6,6.89,0.648,0.329,0.448,0.11,1.301482702,0,0.008450704,0.004179728,172
sample10,Grupo 2,blue,o,30,0.6,6.54,1.047,0.658,0.509,0.107,1.565074135,0,0.056338028,0.353187043,194
sample11,Grupo 1,red,o,30,0.6,5.52,0.399,0.165,0.178,0.074,0.378912685,0,0.343661972,0.008359457,79
sample12,Grupo 2,blue,o,30,0.6,7.36,1.596,0.494,0.239,0.077,1.927512356,0,0.095774648,0.008359457,188
sample13,Grupo 2,blue,o,30,0.6,6.87,4.988,0.658,0.487,0.059,5.123558484,0,0.326760563,0.002089864,401
sample14,Grupo 1,red,o,30,0.6,4.12,0.15,0.165,0.978,0.056,0.049423394,0,0.58028169,0.029258098,155
sample15,Grupo 2,blue,o,30,0.6,7.89,0.549,0.412,0.389,0.108,1.219110379,0,0.006676056,0.00815047,183
sample16,Grupo 2,blue,o,30,0.6,6.94,0.399,0.329,0.348,0.125,1.037891269,0,0.005633803,0.010449321,179
sample17,Grupo 2,blue,o,30,0.6,8.33,0.299,0.082,1.835,0.041,2.042833608,0,0.014084507,0.010449321,153
sample18,Grupo 1,red,o,30,0.6,5.99,0.1,0.041,0.452,0.01,0.57660626,0,0.022535211,0.033437827,194
sample19,Grupo 1,red,o,30,0.6,6.56,0.15,0.165,0.183,0.049,0.593080725,0,0.03943662,0.006269592,75
sample20,Grupo 2,blue,o,30,0.6,7.1,3.092,0.658,0.257,0.077,3.558484349,0,0.095774648,0.031347962,290
sample21,Grupo 2,blue,o,30,0.6,6.78,1.197,0.658,0.252,0.069,1.779242175,0,0.107042254,0.001044932,301
sample22,Grupo 2,blue,o,30,0.6,7.03,1.047,0.576,0.317,0.054,1.449752883,0,0.107042254,0.102403344,208
sample23,Grupo 2,blue,o,30,0.6,6.73,0.349,0.412,0.37,0.087,1.037891269,0,0.005633803,0.016718913,156
sample24,Grupo 1,red,o,30,0.6,5.94,0.349,0.165,0.17,0.049,0.329489292,0,0.250704225,0.066875653,66
sample25,Grupo 2,blue,o,30,0.6,7.11,0.499,0.576,0.152,0.09,1.169686985,0,0.078873239,0.020898642,182
sample26,Grupo 1,red,o,30,0.6,5.96,0.1,0.165,0.304,0.031,0.39538715,0,0.078873239,0.008359457,80
sample27,Grupo 1,red,o,30,0.6,6.19,0.449,0.082,0.161,0.028,0.39538715,0,0.121126761,0.018808777,62
sample28,Grupo 3,green,o,30,0.6,6.86,11.022,1.399,0.583,0.036,9.769357496,0,0.081690141,2.319749216,722
sample29,Grupo 2,blue,o,30,0.6,7.08,0.499,0.576,0.213,0.054,0.939044481,0,0.383098592,0.002089864,391
